Key,Italian(it)
"_avatar","Seleziona il tuo avatar!"
"_avatar_info","{_requires}<br>{AvatarUI.points}<br>{_points}"
"_back","Indietro"
"_back_to_menu","Torna al menu"
"_bad_ip_address","Questo indirizzo Ip non è valido."
"_bad_password","La password deve contenere tra 8 e i 20 caratteri, con NESSUNA virgola o spazi."
"_bad_request","Il server ha rifiutato la connessione, le credenziali potrebbero essere errate o qualcuno con quel nome utente è già connesso al server.<br>E' anche possibile che la connessione col server sia stata interrotta."
"_bad_username","Il nome utente deve contenere tra 1 e 20 caratteri con NESSUNA virgola o spazi."
"_buy","Compra"
"_clear","Pulisci"
"_client","Client"
"_continue_as","Continua<br>come {currentBuild}"
"_correct_compilation","compila correttamente"
"_correct_doubt","Dubbio Corretto"
"_correct_output","Output corretto"
"_correct_result","Risultato corretto: "
"_cosmetic_description","Più punti hai, più avatar saranno disponibili!<br>L'avatar che scegli verrà mostrato a tutti gli altri giocatori nella tua stanza!<br>Completare una sessione ti ricompenserà con alcuni punti, ma se finisci sul podio ne guadagnerai molti di più."
"_cpp_description","Il gioco ti permette di creare i file .cpp della tua, o della migliore, solutione. Scegli la cartella e clicca su esporta mentre stai giocando."
"_cpp_directory","Cartella dei Cpp"
"_crash","Terminasse<br>erroneamente"
"_crash_button","Termini<br>erroneamente"
"_crashed","ha terminiato erroneamente"
"_create_account","Crea un nuovo account"
"_current_ip_address","I giocatori devono connettersi a questo indirizzo Ip: <b>{IpManager.address}</b>"
"_current_leaderboard","Classifica"
"_current_points","{_currently_have} {AvatarManager.points} {_points}"
"_currently_have","In questo momento hai:"
"_default_path","Percorso predefinito"
"_disconnect","Disconnettiti"
"_did_not_compile","non ha compilato"
"_doubt","Dubita"
"_doubt_description","É il momento di creare i tuoi dubbi!<br>Clicca sugli avatar dei giocatori a sinistra per poter leggere le loro soluzioni e, se trovi qualche errore, crea un dubbio premendo il pulsante in alto!"
"_doubt_on_compilation_result","<b>{doubter}</b> si aspettava che la soluzione di <b>{target} non compilasse</b>.<br><br>La soluzione di <b>{target} {returnedType}</b>."
"_doubt_result","<b>{doubter}</b> si aspettava che la soluzione di <b>{target} {doubtType} {possibleReturnValue}</b> invece di ritornare <b>{expectedReturnValue}</b> dopo aver passato <b>{inputs}</b> come argomenti in input.<br><br>La soluzione di <b>{target} {returnedType} {actualReturnValue}</b>.<br>Una corretta soluzione ritornerebbe <b>{correctReturnValue}</b>."
"_doubts_received","Dubbi ricevuti:"
"_expected","si aspettava che la soluzione di"
"_expected_wrong_value","Valore errato atteso:"
"_export","Esporta"
"_export_all_solution","Esporta tutte le soluzioni"
"_export_best_solution","Esporta la soluzione migliore"
"_export_my_solution","Esporta la mia soluzione"
"_goal","Obbiettivo"
"_got_it","Capito!"
"_half_doubt","Mezzo Dubbio"
"_hint","Suggerimento"
"_hints","Suggerimenti"
"_hint_content","{HintBox.hintBody}"
"_hint_value","{_hint} {HintBox.hintNumber}"
"_how_to_play","Come giocare"
"_i_expected","Mi aspetto che la soluzione:"
"_input_arguments","Argomenti in input"
"_input_given","una volta passato il seguente input: "
"_instead","invece di ritornare:"
"_instead_correct_value","Al posto del valore corretto:"
"_leaderboard_description","La classifica finale dipenderà dal risultato dei test finali, tutto può ancora cambiare!"
"_loading","Caricamento"
"_lobby","Stanza"
"_lobby_info","{_lobby} {LobbyUI.lobbyNumber}   {LobbyUI.lobbyCount}/{LobbyUI.lobbyCapacity}"
"_lobby_ready_info","{_lobby} {lobbyNumber}  {readyClients}/{clientsInLobby}"
"_localization_description","Clicca sulla bandiera per cambiare la lingua!"
"_log","Registro"
"_next_time_avatar","Questi sono gli avatar che potrai selezionare dalla prossima volta:"
"_no_compile","Non compilasse"
"_no_compile_button","Non<br>compili"
"_no_doubt","Nessun Dubbio"
"_no_doubt_result","<b>{doubter}</b> non ha dubitato la soluzione di <b>{target}</b>."
"_not_compile","non compila"
"_not_expected","non ha dubitato"
"_password","Password"
"_play","Gioca"
"_player","Giocatore"
"_points","Punti"
"_progress_until_next_round","Avanzamento al prossimo turno"
"_question_solved","Domanda risolta:<br><b>{solvedQuestion}</b>"
"_ready","Pronto"
"_ready_players","Giocatori Pronti"
"_requires","Richiede "
"_remove_doubt","Rimuovi il dubbio contro<br> questo giocatore"
"_return","ritornasse"
"_return_expected","ritorni"
"_returned","ha ritornato"
"_save_best_solution","Salva la soluzioe di chi è al primo posto per fare un confronto!"
"_save_my_solution","Salva la tua soluzione per poterla rivedere in seguito!"
"_seconds","Secondi"
"_select_code_question","Seleziona la sfida per questa sessione!"
"_select_ip_address","Scegli l'indirizzo Ip del server:"
"_select_timer","Seleziona il tempo che avranno i giocatori per creare una soluzione."
"_selected_ip_address","Questo indirizzo Ip è valido."
"_server","Server"
"_server_address_description","Il riquadro rosso contiene l'indirizzo Ipv4 del server.<br>E' molto importante che tu lo condivida con i tuoi giocatori."
"_server_code_question_description","Il riquadro blu contiene le possibili sfide che i giocatori possono affrontare, clicca su una di esse per selezionarla.<br>Nello spazio bianco puoi inserire qualsiasi combinazione di 'tag' per filtrare le possibili sfide."
"_server_control_panel","Pannello di controllo"
"_server_settings","Impostazioni del server"
"_server_timer_description","Il riquadro verde contiene il tempo massimo che i giocatori avranno a disposizione per risolvere la sfida.<br>Se non viene inserito nulla verrà utilizzato un valore predefinito."
"_session_description","Ogni sessione richiede un server e tra 2 e 24 giocatori."
"_session_recap","Numero di partecipanti: {numberOfClients}"
"_settings","Impostazioni"
"_solution",""
"_solution_result","Risultato della soluzione: "
"_start","Inizia"
"_starting_prize","Premio iniziale:"
"_terrible_doubt","Entrambi errati"
"_test","Test"
"_this_session","In questa sessione:"
"_time","tempo"
"_timedout","è andata in Timeout"
"_timeout","andasse in Timeout"
"_timeout_button","Vada in<br>Timeout"
"_timeout_description","Il gioco interromperà tutti i test che potrebbero trovarsi in un ciclo infinito grazie a questa variabile. Occasionalmente, su computer molto lenti, è possibile che un falso positivo interrompa un esecuzione legittima, se succedesse, aumenta questa variabile, ma ricorda che, per un esecuzione che non termina, un timeout grande significa sprecare del tempo che avresti potuto impiegare per migliorare la tua soluzione."
"_timeout_literal","Timeout"
"_time_info","{_time_left}<br>{RoundTimer.displayTime}<br>{_seconds}"
"_time_left","Tempo rimasto:"
"_tutorial_0","Menù principale<br>Rosso: Esci dal gioco, Viola: Credenziali d'accesso, già utilizzate o nuove, Blu: Passa da credenziali già utilizzate a nuove e viceversa, Azzurro: Tenta la connessione con il server utilizzando le credenziali inserite, Giallo: Inserisci l'indirizzo Ipv4 datoti da chi gestisce il server (NECESSARIO), Verde: Apre questo tutorial, Arancione: Apre le impostazioni."
"_tutorial_1","Primo round, scrivi nello spazio apposito la soluzione alla sfida che ti è stata proposta.<br>Rosso: Crea un file cpp contenente la tua soluzione nel percorso che hai indicato nelle impostazioni, Viola: Compila ed esegue i test di base contro la tua soluzione, Blu: Apre il pannello dei suggerimenti dove puoi comprare alcuni suggerimenti al costo di alcuni punti (Nel caso te ne fossi dimenticato, qui puoi rileggere il testo della sfida), Verde: Apre il registro dove tutte le comunicazioni riguardo la compilazione ed esecuzione vengono archiviati, Giallo: Il cronometro ti mostra quanto tempo ti rimane prima di essere obbligato ad inviare la tua soluzione, Arancione: Notifica il server che hai finito di scrivere la soluzione (Se premi il pulsante prima degli altri sarai più in alto nella classifica del primo round), Azzurro: Pulsanti per lo zoom della soluzione."
"_tutorial_2","Secondo round, clicca sugli avatar sulla sinistra per vedere le soluzioni degli altri giocatori, se trovi degli errori premi 'Dubita' per aprire il pannello dei dubbi.<br> Rosso: Pulsanti per lo zoom delle soluzioni, Viola: Apre il pannello dei dubbi, Blu: Lista dei giocatori (In ordine in base al pulsante 'Pronto' dello scorso round), Azzurro: Il cronometro mostra quanto tempo ti rimane prima di dover abbandonare l'occasione di dubitare."
"_tutorial_3","Il pannello dei Dubbi, seleziona un input per il quale pensi che la soluzione selezionata non ritorni il risultato corretto e riempi i campi di conseguenza.<br>Rosso: Ritorna alla schermata precedente, Viola: Dopo aver dubitato la soluzione di un giocatore, è possibile rimuovere il dubbio con questo pulsante, Blu: L'input che pensi farà fallire la soluzione del giocatore selezionato, Azzurro: Cosa pensi succederà alla soluzion una volta fornita del tuo input? Ritornerà un valore errato, non compilerà affatto, verrà interrotta perchè impiegava troppo a terminare or terminerà erroneamente con un eccezione o peggio (NECESSARIO), Verde: Qual'è l'output corretto una volta fornito il tuo input? Il dubbio è considerato completamente corretto solo se sei in grado di rispondere anche a questo!, Giallo: Il valore errato ritornato dalla soluzione, Arancione: Conferma il dubbio con i valori sopra specificati (Puoi dubitare ogni giocatore una sola volta, un nuovo dubbio sovrascriverà quello vecchio)."
"_tutorial_4","Presentazione, il gioco è finito, adesso il punteggion verrà calcolato mentre tutti guardano le soluzioni e i dubbi.<br>Rosso: Lista di chi è stato dubitato, Viola: Lista di chi ha dubitato, Blu: Tutti i dettagli riguardante un dubbio e le sue esecuzioni, Giallo: Voto finale del dubbio."
"_tutorial_5","Classifica finale, congratulazioni la sessione è finita, guadagnerai dei punti in base a come hai giocato,più punti hai, più avatar potrai selezionare.<br>Rosso: Disconnetti dal server, Viola: Salva la tua soluzione nel percorso che hai specificato nelle impostazioni, Blu: Salva la soluzione del primo classificato nel percorso che hai specificato nelle impostazioni, Verde: La classifica finale."
"_unknown","ha ritornato un valore sconosciuto"
"_username","Nome utente"
"_value_points","{points} {_points}"
"_volume","Volume"
"_waiting_slideshow","Sto aspettando che la presentazione dei dubbi finisca..."
"_with_input","Dando in input:"
"_wrong_doubt","Dubbio Errato"
"_wrong_output","Output errato"
"_wrong_output_button","Ritorni un<br>valore errato"
"_slopeBetween2Points_description","Date in input le coordinate di 2 punti su un piano, ritorna il coefficente della retta (inclinazione) che passa per i 2 punti."
"_slopeBetween2Points_hint_1","Come in matematica, le coordinate sono dei numeri, hai solo bisogno di 3 operazioni per trovare l'inclinazione della retta passante per 2 punti."
"_slopeBetween2Points_hint_2","Se non usi delle variabli per salvare dei risultati parziali, avrai bisogno di utilizzare alcune parentesi dat che, omettendole, moltiplicazioni e divisioni vengo sempre eseguite prima di addizioni e sottrazioni."
"_triangleArea_description","Dati in input base e altezza di un triangolo, ritorna l'area del triangolo."
"_triangleArea_hint_1","Come in matematica, base e altezza sono 2 valori che possono essere utilizzatin in qualsiasi formula."
"_chainingConditions_description","Dati in input il numero di booleani falsi e il numero di booleani veri che devono essere concatenati e l'operazione per concatenarli, ritorna il risultato finale dell'evaluazione.<br>Le uniche operazioni valide sono 'and', 'or' e 'not', ritorna false quando la concatenazione di booleani non ha senso."
"_chainingConditions_hint_1","Pensa a quale sia il requisito minimo per ritornare true con un paio di booleani, true and false è false ma true or false è true."
"_chainingConditions_hint_2","Non ha senso avere più di un boolean con l'operazione 'not', l'operazione di negazione è unaria e perciò non può essere usata per concatenare nulla."
"_sumOf2Bits_description","Dati in input il numero di bit che puoi utilizzare come memoria e il valore di 2 bit booleani, ritorna se la somma dei 2 può essere salvata nella memoria a tua disposizione."
"_sumOf2Bits_hint_1","Pensa a cosa succede quando entrambi i booleani sono true, entrambi rappresentano un 1 e sommandoli otterresti un 2, è possibile salvare il valore 2 in un singolo bit?"
"_sumOf2Bits_hint_2","Che succede, invece, quando entrambi i booleani sono false, entrambi rappresentano uno 0 e sommandoli otterresti 0, è possibile salvare il valore 0 in 0 bit?"
"_limitChecking_description","Dati in input, un int principale, 2 int che rappresentano limite inferiore e limite superiore e un float ausiliario, ritorna se l'int principale è contenuto tra i 2 limiti.<br>L'int principale può essere modificato una sola volta tramite una moltiplicazione o divisione da parte del float ausiliario.<br>In più, dopo aver usato il float ausiliario devi arrotondare il risultato verso l'intervallo tra i limiti."
"_limitChecking_hint_1","Ricorda che la libreria 'math.h' offre 3 funzioni per l'arrotondamento: 'ceil', 'round' e 'floor', ma arrotondano tutte e 3 in modo diverso, per questa funzione avrai bisogno solamente di 2 di queste."
"_limitChecking_hint_2","Ti sei ricordato che il float ausiliario potrebbe essere tra 0 e 1? In quel caso, moltiplicazione e divisione si invertirebbero!"
"_helloWorld_description","Dato in input un int, ritorna la stringa 'Hello world' seguita da tanti '!' quanto il valore dell'int."
"_helloWorld_hint_1","Rircoda che l'operazione '+' può essere utilizzata per concatenare stringhe con altre stringhe e stringhe con caratteri."
"_fibonacci_description","Dato in input un int, ritorna il numero nella sequenza di fibonacci con l'indice corrispondente al valoredell'int.<br>La sequenza di fibonacci inizia all'indice 0 con: 0, 1, 1, 2, 3... dove ogni numero nella sequenza è uguale alla somma dei 2 numeri precedenti."
"_fibonacci_hint_1","Il modo più semplice per calcolare la sequenza di fibonacci è la ricorsione, ma ricordati di cambiare gli argomenti della funzione ogni volta che viene chiamata."
"_fibonacci_hint_2","Ti sei ricordato dei casi base? Senza una condizione per fermarsi, il tuo codice verrebbe eseguito all'infinito, pensa a quali numeri nella sequenza non dipendono dai 2 numeri precedenti."
"_structTraversal_description","Dato in input il numero di svolte a sinistra, ritorna la somma dei valori trovati, dopo aver eseguito tutte le svolte a sinistra, svolta a destra finchè puoi.<br>Hai a disposizione una variabile di tipo 'Node*' chiamata 'root', contiene 3 puntatori, uno chiamato 'left' che rappresenta una svolta a sinistra, uno chiamato 'right' che rappresenta una svolta a destra e uno chiamato 'value' che rappresenta il valore trovato, 'left' e 'right' puntano a un altro 'Node*', se esiste."
"_structTraversal_hint_1","Lavorare con i puntatori può confondere, accedere al valore di un 'Node*' con node->value ritornerà un int, ma node->left ritornerà un 'Node*' o 'nullptr'."
"_structTraversal_hint_2","E' possibile attraversare una lista di puntatori usando la stessa struttura di dati, creando una variabile di tipo 'Node*' e ponendola uguale a 'root' potrai accedere a 'left' della nuova variabile e ottenere lo stesso puntatore di root->left."
"_structTraversal_hint_3","Ti sei ricordato di considerare il valore iniziale di 'root'?"
